,preCloseIndex,openIndex,lowestIndex,highestIndex,turnoverVol,closeIndex,label,,,,,
74,13.6556006,13.69,13.69,13.9590002,42223800,13.9032996,13.8881995,13.8788,13.7997998,13.9910999,38911500,13.9783997
75,13.9032996,13.8771997,13.7925,13.9022998,34205700,13.8817004,13.9783997,13.9795996,13.9440002,14.0290002,36070000,13.9637
76,13.8817004,13.8643005,13.6983997,13.8643005,38219000,13.7593994,13.9637,13.9560999,13.8669995,13.97,38153200,13.9093994
77,13.7593994,13.7840002,13.7223999,13.8787,41036100,13.7993005,13.9093994,13.9121997,13.8425,14.0456995,45088900,13.8558997
78,13.7993005,13.8052002,13.7108997,13.9771997,44616600,13.8881995,13.8558997,13.8596997,13.8306995,14.1006995,44487800,14.0933997
79,13.8881995,13.8788,13.7997998,13.9910999,38911500,13.9783997,14.0933997,14.0916003,14.0625,14.2271997,39530300,14.1390002
80,13.9783997,13.9795996,13.9440002,14.0290002,36070000,13.9637,14.1390002,14.1533997,14.0437,14.1533997,34100900,14.0748999
81,13.9637,13.9560999,13.8669995,13.97,38153200,13.9093994,14.0748999,14.0559998,13.9709998,14.2156995,39241000,14.1826001
82,13.9093994,13.9121997,13.8425,14.0456995,45088900,13.8558997,14.1826001,14.1748999,13.9116003,14.1954004,40758600,13.9256995
83,13.8558997,13.8596997,13.8306995,14.1006995,44487800,14.0933997,13.9256995,13.9429004,13.8939001,14.0234998,38275500,13.9768005
84,14.0933997,14.0916003,14.0625,14.2271997,39530300,14.1390002,13.9768005,13.9490002,13.8410999,13.9490002,35186200,13.8828003
85,14.1390002,14.1533997,14.0437,14.1533997,34100900,14.0748999,13.8828003,13.8940002,13.8619995,14.0406006,33706300,14.0357996
86,14.0748999,14.0559998,13.9709998,14.2156995,39241000,14.1826001,14.0357996,14.0440002,13.9626001,14.0630005,40185900,14.0304004
87,14.1826001,14.1748999,13.9116003,14.1954004,40758600,13.9256995,14.0304004,14.0565002,14.0565002,14.2018994,39793700,14.0866003
88,13.9256995,13.9429004,13.8939001,14.0234998,38275500,13.9768005,14.0866003,14.0835999,14.0687,14.2440002,38364800,14.2356995
89,13.9768005,13.9490002,13.8410999,13.9490002,35186200,13.8828003,14.2356995,14.2389001,14.1434998,14.2581995,38425900,14.2534998
90,13.8828003,13.8940002,13.8619995,14.0406006,33706300,14.0357996,14.2534998,14.2528003,14.2163,14.4023999,36839700,14.2663
91,14.0357996,14.0440002,13.9626001,14.0630005,40185900,14.0304004,14.2663,14.2448999,14.0908997,14.2448999,38543200,14.1340002
